text,R
"Хочу в Абхазию, чтобы отель были видны горы и море, на первой линии. Говорят что есть отели все включено",4.1
"смотрим терклюр, в общем нам нужен хороший пляж. и не дорого, 1 линия не обязательна, важно хороший пляж, горки в бассейне, можно 4*. и чтобы за пределами отеля была инфраструктура",4.1
"Примерно с 6 сентября на на 7-9 ночей, море в шаговой доступности, номер с водой, туалетом и кондиционером. Бюджет скромный",4.1
"7 ночей. Бюджет 100 000. Пожелания по отелю: хочется чтобы был чистый, относительно новый и место расположение удобное. Завтрак включён.",4.1
"Хотим с дочкой в Турцию, на конец июля(26-28) или август (7). Очень хорошая 3, хорошая 4, бюджетная 5. Главное- близко песчаный пляж и все включено. На 6-8 дней. Можно из Нска. Бюджет 100 +- 10000.",4.1
"Здравствуйте. Мы бы хотели подобрать тур у вас. Хотим море, пляжный тур, нас двое (без детей). Нужно экономично, минимальные затраты(до 60). Но чтобы обязательно было море, спасибо)))",4.1
"Добрый день! Ищем пляжный отдых для матери с ребенком (13), отель не ниже 4, чтобы был пляж и трансфер из аэропорта. Не особо дорого",4.1
"Хотим нормальную пятерку, первая линия, чтобы был красивый пейзаж. двое взрослых + маленький ребенок 5 лет. По стоимости до 100. Что посоветуете?",4.1
"Здравствуйте, выбрали Грецию. 2 семьи(2 взрослых и 1 подруга семьи и ее ребенок). Хотим у вас взять трансфер и авто на прокат. Номера разные (только на разных этажах). Что можете предложить нам?",4.1
"Привет, ищу качественный отель категории 3* недалеко от пляжа, 11 дней с конца июня. В Египте и Турции была неоднократно, эти страны не интересуют. Не особо чтобы дорого, но готова потратить до 95000.",4.1
"Пляж песок, первая линия, чтобы детям было хорошо, не ниже 4*",4.1
"Нужно чтобы было рядом где погулять,  не ниже 4*, питание все включено",4.1
"Отель семейный. Детские горки чтобы были, на пляже чтобы было питание. чтобы все было бесплатно",4.1
"Мне не нужно все включено, важно чтобы было где вечерами гулять и можно было ездить на экскурсии, отель хороший, чтобы было чисто",4.1
"Отель нужен новый или чтобы ремонт был в прошлом году. Большая территория, бассейны, ультра все включено, импортный алкоголь, детей поменьше",4.1
"Мне нужно туда. Чтобы было поменьше русских, отель лучше бунгало, первая линия. Питание не обязательно, только завтраки",4.1
"Нужно чтобы отель был недалеко от аэропорта. Чтобы был песчаный вход, чтобы детское питание было, детская кроватка, чтобы номера были 2-х комнатные, у нас семья 4 человека с младенцем. Детские горки в отеле для старшего и штобы был детский клую. Нужно очень хорошее питание.",4.1
"Нам нужен отель хорошего уровня, питание с импортным алкоголем, в центре города",4.1
"2 взрослых, 12-16 июля Горный, на берегу,лесистая территория, домик,отдельный вход, не дальше Берели, авто стоянка",4.1
"3взрослых +1 ребенок (9), Горный 29.07-01.08, хорошая база,бассейн",4.1
"Привет, только вырвались в отпуск, план такой: Турция 7 июля на 10-11 дн, 2 взрослых ,хороший песчаный заход, активно,анимация, бар на пляже",4.1
"Добрый вечер, ищем тур,вылет 10-12 июля или 15-17 июля на неделю, 2 взр, Турция,Кипр,ОАЭ,Египет",4.1
"Семья 2+1 ребенок(11), Турция , Район Авсалар,Инджекум,Тюрклер, 4-5*, 1 линия, песочный заход",4.1
"Здравствуйте, нас интересует море, заграница. Период с 15.07 до 25.08. Количество ночей от 10. Бюджет до 170000. 2взр и 2 ребенка (5 и 7 лет). Какие могут быть варианты?",4.1
"Отель в Турции 4-5*с песчаным пляжем ,работающий по системе AI с кухней в номере . Едет семья с двумя детками,родители и старший ребенок хотят питаться по системе ""все включено"",младший ребенок находится на специализированном питании",4.1
"С 1 по 5,7 сент, 2+4(12,10 и 2 по года), пляжно, бюджетно, недалеко лететь",4.1
"Здравствуйте! Посоветуйте,,, какие отели посмотреть на Протарасе и Айя Напе? Куда отправляете туристов? 3-4*.  Пятерки, наверное, под полмиллиона?  И что с Грецией? Открыли? Там шенген надо делать.. в Новосибирске?",4.1
"Кипр на 20-22 июля в хороший отель в районе мисси бич, 2-е взрослых+2(4,13), Отель 3+ или 4-,  питание всё включено,хороший отель.",4.1
"2 взр с 14.06 до 02.07 даты вылета, на 10 ночей тунис, или кипр, 1, 2 линия в предела 120 на двоих",4.1
"Здравствуйте. 3 взрослых. Лучше из Москвы. У нас там дочь. Не обязательно Турция. Нужно море теплое Хороший отель. Не обязательно все включено Дней 10",4.1
"Мы с женой хотим отдохнуть в Белеке, в хорошем отеле на берегу. Номер должен быть обязательно с видом на море. Анимация не нужна, хороший алкоголь приветствуется. Что Вы можете предложить?",4.7
"Два взрослых и ребенок 3 года. Хотим отель на берегу с собственным песчаным пляжем. Важно, чтобы были диетические блюда для ребенка, wifi в номере. Что Вы можете предложить?",4.6
"Нам нужны море, солнце и песок. От отеля - минимальные требования. В основном будем ездить на экскурсии.",3.5
